Ticker,Company,Sector,Country,MarketCap,TotalDebt,Revenue,EBITDA,Debt_to_EBITDA,EBITDA_Margin,Debt_to_Revenue,Volatility_1Y,Max_Drawdown_1Y,sector_shock,Stress_EBITDA,Stress_Debt_to_EBITDA,Debt_EBITDA_change
SHEL,Shell PLC,Energy,United Kingdom,215662100480.0,75645001728.0,267342004224.0,49131999232.0,1.539628000293786,0.1837795724417229,0.2829521756132969,0.2142825060739926,-0.1676662007725398,0.15,41762199347.2,1.8113270591691604,0.27169905887537427
BP,BP p.l.c.,Energy,United Kingdom,97582030848.0,74178002944.0,193004994560.0,34377998336.0,2.157717334761814,0.1781197342295347,0.3843320382102344,0.2719036994625012,-0.1951804753828423,0.15,29221298585.6,2.5384909820727226,0.38077364731090846
TTE.PA,TOTALENERGIES,Energy,France,154530152448.0,64250998784.0,183960993792.0,36652998656.0,1.7529534046318005,0.1992433172949838,0.3492642514023759,0.2196380685485481,-0.1408973057705791,0.15,31155048857.6,2.0622981230962356,0.3093447184644351
ENI.MI,ENI,Energy,Italy,60840120320.0,36569001984.0,84479000576.0,12028000256.0,3.040322680884386,0.1423785813514594,0.4328768301549846,0.2412589664427654,-0.1546518009349984,0.15,10223800217.6,3.5768502128051596,0.5365275319207736
IBE.MC,ACCIONES IBERDROLA,Utilities,Spain,139386257408.0,59747000320.0,43510697984.0,13939550208.0,4.286149798844356,0.3203706411036184,1.3731565589219117,0.1483456065137639,-0.069802528995662,0.1,12545595187.2,4.762388665382617,0.4762388665382611
ENEL.MI,ENEL,Utilities,Italy,97912840192.0,70528999424.0,77908000768.0,20298999808.0,3.4745061377952204,0.2605509011641539,0.9052857053029288,0.1936984056825373,-0.1105552116981053,0.1,18269099827.2,3.8605623753280223,0.3860562375328018
ENGI.PA,ENGIE,Utilities,France,67334762496.0,55187001344.0,71944003584.0,13011999744.0,4.24123904317224,0.1808628807932202,0.7670827114808123,0.2055103147835563,-0.1331169864465274,0.1,11710799769.6,4.712487825746934,0.47124878257469405
RWE.DE,RWE AG                        I,Utilities,Germany,38903549952.0,24533999616.0,16264999936.0,1064000000.0,23.058270315789475,0.0654165388371754,1.5083922356309316,0.248260909396499,-0.103652506804697,0.1,957600000.0,25.620300350877194,2.5620300350877194
SIE.DE,SIEMENS AG                    N,Industrials,Germany,207008546816.0,54160998400.0,79699001344.0,11843999744.0,4.572863861081826,0.1486091361782371,0.6795693482560483,0.3264852207873635,-0.205036628673658,0.2,9475199795.2,5.716079826352282,1.143215965270456
SU.PA,SCHNEIDER ELECTRIC SE,Industrials,France,157746544640.0,19908999168.0,40151998464.0,7927000064.0,2.5115427030732014,0.1974247949602631,0.4958408031881718,0.326109018299421,-0.1776291808975032,0.2,6341600051.200001,3.1394283788415014,0.6278856757683
SAF.PA,SAFRAN,Industrials,France,140486443008.0,5326000128.0,31189000192.0,5904999936.0,0.9019475335689487,0.1893295681057014,0.1707653369846117,0.3179889922921212,-0.236175139578751,0.2,4723999948.8,1.1274344169611858,0.2254868833922371
